variables = "reb" "Z" "ret" "uclp"
zone t = "reb=10000"
1.0000000000e+04 0.0000000000e+00 3.1621093750e+02 2.0206102341e+01
1.0000000000e+04 4.0000000000e+01 2.4401855469e+02 3.1757646012e+01
1.0000000000e+04 8.0000000000e+01 2.0161132812e+02 4.1692998311e+01
1.0000000000e+04 1.2000000000e+02 1.7778320312e+02 4.9552214726e+01
1.0000000000e+04 1.5000000000e+02 1.6654052734e+02 5.4287574014e+01
1.0000000000e+04 2.0000000000e+02 1.5502319336e+02 6.0323344654e+01
zone t = "reb=100000"
1.0000000000e+05 0.0000000000e+00 2.3531494141e+03 2.5353548482e+01
1.0000000000e+05 4.0000000000e+01 1.8477783203e+03 3.8234679185e+01
1.0000000000e+05 8.0000000000e+01 1.5218505859e+03 5.0106602833e+01
1.0000000000e+05 1.2000000000e+02 1.3109130859e+03 6.0723657785e+01
1.0000000000e+05 1.5000000000e+02 1.1944580078e+03 6.8128879165e+01
1.0000000000e+05 2.0000000000e+02 1.0485229492e+03 7.9667586011e+01
